:START_ID,:END_ID,:TYPE
s1,pa1,identifies
s1,pa1,identifies
s1,pa1,identifies
s1,pa1,identifies
s1,pa1,identifies
s2,pa3,identifies
s3,pa4,identifies
s4,pa5,identifies
s2,pa6,identifies
s6,pa7,identifies
s6,pa7,identifies
s6,pa7,identifies
s6,pa7,identifies
s6,pa7,identifies
s7,pa8,identifies
s7,pa8,identifies
s7,pa8,identifies
s8,pa9,identifies
s8,pa9,identifies
s9,pa9,identifies
s11,pa11,identifies
s9,pa9,identifies
s8,pa9,identifies
s13,pa12,identifies
s13,pa12,identifies
s13,pa12,identifies
s13,pa12,identifies
s14,pa12,identifies
s15,pa13,identifies
s15,pa13,identifies
s15,pa13,identifies
s15,pa13,identifies
s15,pa13,identifies
s15,pa13,identifies
s15,pa13,identifies
s17,pa15,identifies
s17,pa15,identifies
s17,pa15,identifies
s18,pa16,identifies
s17,pa15,identifies
s19,pa17,identifies
s1,pa1,identifies
s20,pa17,identifies
s20,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s21,pa17,identifies
s1,pa1,identifies
s21,pa17,identifies
s21,pa17,identifies
s22,pa21,identifies
s23,pa22,identifies
s24,pa26,identifies
